Type,State,QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectIndex,Explanation
Universal,ALL,U-011,roadSigns,What does a DO NOT ENTER sign mean?,Slow down and proceed carefully,You are going the wrong way on a one-way road,Yield to oncoming traffic,Construction zone ahead,B,1,A DO NOT ENTER sign means you cannot enter that roadway. It is usually posted at exit ramps or one-way streets to prevent wrong-way driving.
Universal,ALL,U-012,roadSigns,What does a WRONG WAY sign indicate?,Construction detour ahead,You have entered a roadway in the wrong direction,Yield to traffic,Road ends ahead,B,1,"A WRONG WAY sign means you are traveling against traffic. If you see this sign, stop immediately and safely turn around."
Universal,ALL,U-013,roadSigns,What does a double solid yellow line in the center of the road mean?,Passing is allowed in both directions,Passing is prohibited in both directions,Passing is allowed only when turning left,Carpool lane marking,B,1,Double solid yellow lines mean passing is not allowed in either direction. You may cross them only to turn left into a driveway or side road when safe.
Universal,ALL,U-014,roadSigns,What does a broken yellow line on your side of the road indicate?,No passing allowed,Passing is permitted when safe,Edge of the road,Bike lane,B,1,A broken yellow line on your side of the center line means you may pass when it is safe to do so and the road ahead is clear.
Universal,ALL,U-015,roadSigns,What do white lines on the road separate?,Traffic moving in opposite directions,Traffic moving in the same direction,Parking areas,Bike lanes only,B,1,White lines separate lanes of traffic moving in the same direction. Yellow lines separate traffic moving in opposite directions.
Universal,ALL,U-016,roadSigns,What does a solid white line between lanes mean?,Passing is encouraged,Lane changing is discouraged,You must exit,Carpool lane,B,1,A solid white line between lanes discourages lane changing. You should stay in your lane unless it is necessary to change.
Universal,ALL,U-017,roadSigns,What does a flashing red traffic light mean?,Slow down and proceed,Stop and wait for a green light,Stop completely then proceed when safe,Yield to traffic,C,2,"A flashing red light means the same as a STOP sign. You must stop completely, yield to traffic and pedestrians, then proceed when safe."
Universal,ALL,U-018,roadSigns,What does a flashing yellow traffic light mean?,Stop completely,Speed up to clear the intersection,Slow down and proceed with caution,Yield to pedestrians only,C,2,A flashing yellow light means slow down and proceed with caution. Be alert for potential hazards and cross traffic.
Universal,ALL,U-019,roadSigns,What should you do when you see a YIELD sign?,Stop completely in all cases,Slow down and give right-of-way to other traffic,Speed up to merge quickly,Honk your horn to alert others,B,1,"A YIELD sign means slow down and be prepared to stop if necessary. Give the right-of-way to vehicles and pedestrians in or approaching the intersection. Stop if you cannot merge safely."
Universal,ALL,U-020,roadSigns,What does a red arrow traffic signal mean?,Stop and wait for the green arrow before turning,Proceed with caution in that direction,Yield then turn,Slow down before turning,A,0,A red arrow means you must stop and cannot turn in the direction of the arrow until a green arrow or green light appears.
Universal,ALL,U-021,roadSigns,What does a green arrow traffic signal mean?,Proceed with caution in any direction,You may proceed in the direction of the arrow,Stop then proceed,Yield to oncoming traffic,B,1,A green arrow means you have the right-of-way to move in the direction of the arrow. Oncoming traffic should be stopped.
Universal,ALL,U-022,roadSigns,What does a steady yellow traffic light mean?,Speed up to clear the intersection,The light is about to turn green,Stop if you can do so safely as the light is about to turn red,Proceed with caution,C,2,"A steady yellow light warns that the light is about to turn red. Stop if you can do so safely. If you are already in the intersection, proceed through carefully."
Universal,ALL,U-023,roadSigns,What does a sign showing two arrows curving in opposite directions indicate?,Two-way traffic ahead,Winding road ahead,Divided highway ends,No U-turn allowed,A,0,This sign warns that you are entering or approaching a two-way roadway. Stay in your lane and be aware of oncoming traffic.
Universal,ALL,U-024,roadSigns,What does a sign with a truck on a downward slope indicate?,Truck parking ahead,Steep downgrade ahead,Trucks must exit,No trucks allowed,B,1,This warning sign indicates a steep downgrade ahead. Trucks and vehicles with trailers should reduce speed and use lower gears.
Universal,ALL,U-025,roadSigns,What does a MERGE sign indicate?,Two lanes become one ahead,Traffic must stop,Speed limit change ahead,Lane ends and you must exit,A,0,"A MERGE sign warns that two lanes of traffic will join into one. Be prepared to adjust your speed and position to merge safely."
Universal,ALL,U-026,roadSigns,What does a LANE ENDS sign indicate?,Your lane is about to end and you must merge,The highway is ending,A new lane is starting,Exit only ahead,A,0,A LANE ENDS sign warns that your lane will end ahead. You must merge into an adjacent lane when safe.
Universal,ALL,U-027,roadSigns,What does a divided highway sign indicate?,The road ahead has a physical barrier separating traffic,Two roads are merging,One-way traffic ahead,Highway ends,A,0,This sign indicates you are approaching a divided highway where opposing traffic is separated by a median or barrier.
Universal,ALL,U-028,roadSigns,What does a DIVIDED HIGHWAY ENDS sign mean?,Opposing traffic will no longer be separated by a barrier,The highway is ending,Road work ahead,Merge left,A,0,This sign warns that the divided highway is ending. Opposing traffic will no longer be separated and you should stay in your lane.
Universal,ALL,U-029,roadSigns,What should you do when you see a SLOW MOVING VEHICLE sign (orange triangle) on a vehicle?,Pass immediately,Allow extra following distance as the vehicle travels under 25 mph,Honk to get them to move faster,Report them to police,B,1,An orange triangular sign on the back of a vehicle indicates it travels at 25 mph or less. Allow extra room and pass only when safe.
Universal,ALL,U-030,roadSigns,What does a NO PASSING ZONE sign indicate?,You are entering an area where passing is prohibited,Trucks cannot pass,Passing on the right only,Emergency vehicles passing,A,0,A NO PASSING ZONE sign marks the beginning of an area where passing other vehicles is not allowed due to limited visibility or road conditions.
Universal,ALL,U-031,roadSigns,What does a crossbuck (X-shaped) sign at a railroad crossing mean?,Slow down only,Stop only if a train is visible,Yield to trains and be prepared to stop,Speed up to cross quickly,C,2,A crossbuck sign means you should yield to trains. Slow down and look both ways. Stop if a train is approaching or signals are active.
Universal,ALL,U-032,roadSigns,What does a curve warning sign indicate?,The road curves ahead and you should reduce speed,No turns allowed,U-turn permitted,Speed limit increases,A,0,Curve warning signs alert you to upcoming curves in the road. Reduce your speed before entering the curve.
Universal,ALL,U-033,roadSigns,What does a pedestrian crossing sign indicate?,Pedestrians are prohibited,Watch for pedestrians crossing the road,Pedestrian bridge ahead,School zone,B,1,A pedestrian crossing sign warns drivers to watch for people crossing the road. Slow down and be prepared to yield to pedestrians.
Universal,ALL,U-034,roadSigns,What does a deer crossing sign indicate?,Deer hunting area,Watch for deer or other wildlife crossing the road,Zoo ahead,No hunting zone,B,1,This warning sign indicates an area where deer or other animals frequently cross the road. Reduce speed and watch carefully especially at dawn and dusk.
Universal,ALL,U-035,roadSigns,What does a slippery when wet sign indicate?,Road floods when it rains,Road may be slippery in wet conditions so reduce speed,Ice on road year-round,Oil spill ahead,B,1,This sign warns that the road surface may become slippery when wet. Reduce your speed and avoid sudden braking or turning.
Universal,ALL,U-036,roadSigns,What do chevron signs (arrows on a yellow background) indicate?,One-way traffic,Sharp change in road direction,Merge ahead,Exit only,B,1,Chevron signs mark sharp curves or turns in the road. They help guide you through the curve by showing the direction of the turn.
Universal,ALL,U-037,roadSigns,What does a STOP AHEAD sign indicate?,You must stop immediately,A stop sign is ahead so prepare to stop,Stop only if traffic is present,Construction stop ahead,B,1,A STOP AHEAD sign warns you that there is a stop sign ahead. Begin slowing down and prepare to make a complete stop.
Universal,ALL,U-038,roadSigns,What does a SIGNAL AHEAD sign indicate?,Traffic signal is out of order,A traffic signal is ahead so be prepared to stop,Signal your turn ahead,Emergency signal ahead,B,1,This sign warns that there is a traffic signal ahead. Be prepared to stop if the light is red or yellow.
Universal,ALL,U-039,roadSigns,What does a ONE WAY sign indicate?,Only one lane of traffic,Traffic flows in one direction only on this road,One vehicle at a time,Single file traffic,B,1,A ONE WAY sign indicates that traffic on that street moves in only one direction. Enter only if you are traveling in the indicated direction.
Universal,ALL,U-040,roadSigns,What does a speed limit sign indicate?,Suggested safe speed,Maximum legal speed under ideal conditions,Minimum required speed,Average traffic speed,B,1,Speed limit signs show the maximum legal speed allowed under ideal conditions. You may need to drive slower in poor weather or heavy traffic.
Universal,ALL,U-041,roadSigns,What does a MINIMUM SPEED sign indicate?,Maximum speed allowed,The slowest speed you may travel on that road,Suggested speed,School zone speed,B,1,A minimum speed sign indicates the slowest legal speed on that road. Driving slower than this can impede traffic flow and create hazards.
Universal,ALL,U-042,roadSigns,What does a KEEP RIGHT sign indicate?,Right lane for slower traffic,Drive on the right side of a divider or obstruction,Right turn only,Yield to traffic on right,B,1,A KEEP RIGHT sign tells you to stay on the right side of a traffic island divider or obstruction in the road.
Universal,ALL,U-043,roadSigns,What does a NO U-TURN sign indicate?,U-turns are permitted,U-turns are prohibited at this location,Wide turns prohibited,Three-point turns only,B,1,A NO U-TURN sign means you cannot make a U-turn at that location. Continue to a legal location to turn around.
Universal,ALL,U-044,roadSigns,What does a NO LEFT TURN sign indicate?,Left turns are prohibited,Left lane closed,Keep left,Yield before turning left,A,0,A NO LEFT TURN sign prohibits left turns at that intersection or location. Find an alternate route.
Universal,ALL,U-045,roadSigns,What does a NO RIGHT TURN ON RED sign indicate?,Right turns are never allowed,You cannot turn right when the light is red,Right lane is closed,No turn on red after stopping,B,1,This sign prohibits right turns on red. You must wait for a green light before turning right at this intersection.
Universal,ALL,U-046,roadSigns,What does a CENTER LANE LEFT TURN ONLY sign indicate?,The center lane is for passing,The center lane is only for vehicles making left turns from either direction,Left lane ends,HOV lane,B,1,A center left turn lane is shared by traffic from both directions for making left turns. Do not use it for passing or through travel.
Universal,ALL,U-047,roadSigns,What does a hospital sign (white H on blue background) indicate?,Helicopter landing zone,Hospital or emergency medical services nearby,Hotel ahead,No honking zone,B,1,Blue signs with a white H indicate that hospital or emergency medical services are nearby or accessible from that exit.
Universal,ALL,U-048,roadSigns,What does a rest area sign indicate?,No stopping allowed,Rest stop with facilities is available ahead,Residential area,Scenic overlook,B,1,Rest area signs indicate a place ahead where you can stop to rest use restrooms and take a break from driving.
Universal,ALL,U-049,roadSigns,What do rumble strips on or along the road indicate?,Road work ahead,You may be leaving your lane or approaching a stop,Speed bump ahead,Railroad crossing,B,1,Rumble strips create noise and vibration to alert drivers they are leaving the lane or approaching a stop sign or toll booth.
Universal,ALL,U-050,roadSigns,What does a ROAD WORK AHEAD sign indicate?,Road is closed,Slow down and watch for workers and equipment,Rough road surface,Detour required,B,1,This orange warning sign alerts you to a work zone ahead. Slow down be alert for workers and be prepared for lane changes or stops.
Universal,ALL,U-051,rulesOfRoad,At a four-way stop when two vehicles arrive at the same time who has the right-of-way?,The vehicle on the left,The vehicle on the right,The larger vehicle,The vehicle going straight,B,1,When two vehicles arrive at a four-way stop at the same time the vehicle on the right has the right-of-way.
Universal,ALL,U-052,rulesOfRoad,When making a left turn at an intersection you must yield to,Only vehicles turning right,Oncoming traffic and pedestrians,Only pedestrians,No one if you have a green light,B,1,When turning left you must yield the right-of-way to oncoming traffic and pedestrians in the crosswalk even if you have a green light.
Universal,ALL,U-053,rulesOfRoad,When entering a roadway from a driveway you must,Yield to vehicles and pedestrians on the roadway,Honk to alert traffic,Proceed if no stop sign is present,Enter quickly to merge with traffic,A,0,When entering a roadway from a driveway or private road you must yield to all vehicles and pedestrians already on the roadway.
Universal,ALL,U-054,rulesOfRoad,What should you do when approaching an uncontrolled intersection?,Speed up to get through first,Stop completely in all cases,Slow down and be prepared to yield,Honk your horn,C,2,At an uncontrolled intersection (no signs or signals) slow down look both ways and be prepared to yield to any traffic already in the intersection.
Universal,ALL,U-055,rulesOfRoad,Which lane should you use to make a right turn?,The left lane,Any lane,The lane closest to the right curb,The center lane,C,2,When preparing to turn right position your vehicle in the lane closest to the right curb or edge of the road.
Universal,ALL,U-056,rulesOfRoad,Which lane should you use to make a left turn on a two-way road?,The right lane,The lane closest to the center line,Any available lane,The shoulder,B,1,When preparing to turn left on a two-way road position your vehicle in the lane closest to the center line.
Universal,ALL,U-057,rulesOfRoad,After making a left turn into which lane should you enter?,The rightmost lane,The leftmost lane of the road you enter,Any lane with space,The center lane,B,1,After completing a left turn you should enter the leftmost lane traveling in your direction on the road you are entering.
Universal,ALL,U-058,rulesOfRoad,After making a right turn into which lane should you enter?,The leftmost lane,Any lane,The rightmost lane of the road you enter,The center lane,C,2,After completing a right turn you should enter the rightmost lane of the road you are turning onto.
Universal,ALL,U-059,rulesOfRoad,When is it legal to pass another vehicle on the right?,Never,When the vehicle ahead is making a left turn and there is room,Only on one-way streets,Only on highways,B,1,You may pass on the right when the vehicle ahead is making a left turn and there is a lane available or on one-way streets with multiple lanes.
Universal,ALL,U-060,rulesOfRoad,When is passing on the left prohibited?,When there is a broken yellow line,When approaching the crest of a hill or curve with limited visibility,Only in school zones,Only in construction zones,B,1,Passing on the left is prohibited when you cannot see far enough ahead such as at hilltops curves or intersections.
Universal,ALL,U-061,rulesOfRoad,How far before a turn should you signal?,50 feet,At least 100 feet,25 feet,Only when other traffic is present,B,1,You should signal at least 100 feet before making a turn. On highways where speeds are higher signal earlier.
Universal,ALL,U-062,rulesOfRoad,When parallel parking on a level street how far should your wheels be from the curb?,24 inches or less,18 inches or less,36 inches or less,12 inches or less,B,1,When parallel parked your wheels should be within 18 inches of the curb. Getting closer is even better.
Universal,ALL,U-063,rulesOfRoad,When parking uphill on a street with a curb which way should you turn your wheels?,Toward the curb,Away from the curb,Straight ahead,It does not matter,B,1,When parking uphill with a curb turn your wheels away from the curb. If your car rolls it will roll into the curb and stop.
Universal,ALL,U-064,rulesOfRoad,When parking downhill which way should you turn your wheels?,Away from the curb,Toward the curb,Straight ahead,Either direction,B,1,When parking downhill turn your wheels toward the curb. If your car rolls it will roll into the curb and stop.
Universal,ALL,U-065,rulesOfRoad,When parking on a hill with no curb which way should you turn your wheels?,Toward the center of the road,Toward the edge of the road,Straight ahead,It does not matter,B,1,When parking on a hill with no curb turn your wheels toward the edge of the road. If your car rolls it will roll off the road not into traffic.
Universal,ALL,U-066,rulesOfRoad,How close to a fire hydrant can you legally park?,5 feet,10 feet,15 feet,20 feet,C,2,You must park at least 15 feet away from a fire hydrant to allow fire trucks access in an emergency.
Universal,ALL,U-067,rulesOfRoad,How close to a crosswalk can you legally park?,10 feet,15 feet,20 feet,25 feet,C,2,You must not park within 20 feet of a crosswalk to ensure pedestrians are visible to drivers.
Universal,ALL,U-068,rulesOfRoad,What does a white curb marking indicate?,No parking at any time,Passenger loading and unloading only,Time-limited parking,Disabled parking only,B,1,A white curb means you may stop only long enough to pick up or drop off passengers or mail. No waiting is allowed.
Universal,ALL,U-069,rulesOfRoad,What does a yellow curb marking indicate?,No parking at any time,Loading zone for freight and passengers,Time-limited parking,School bus zone,B,1,A yellow curb indicates a loading zone where you may stop only to load or unload passengers or freight as posted.
Universal,ALL,U-070,rulesOfRoad,What does a red curb marking indicate?,Fire lane or no parking at any time,Loading zone,Time-limited parking,Bus stop only,A,0,A red curb means no stopping standing or parking at any time. This is often used for fire lanes.
Universal,ALL,U-071,rulesOfRoad,What does a blue curb marking indicate?,Loading zone,No parking,Parking for disabled persons only,Police parking only,C,2,A blue curb is reserved for parking vehicles displaying a disabled placard or license plate.
Universal,ALL,U-072,rulesOfRoad,When can you drive in a bike lane?,At any time,Only when making a right turn within 200 feet of the turn,Never under any circumstances,Only when passing slower traffic,B,1,You may only enter a bike lane within 200 feet of making a right turn and only after checking that no cyclists are present.
Universal,ALL,U-073,rulesOfRoad,What is the proper way to change lanes?,Signal and move immediately,Check mirrors signal check blind spot then move when clear,Change lanes quickly to avoid slowing traffic,Honk then change lanes,B,1,To safely change lanes check your mirrors signal your intention check your blind spot and move over when the lane is clear.
Universal,ALL,U-074,rulesOfRoad,When must you use headlights?,Only at night,From sunset to sunrise and when visibility is less than 1000 feet,Only when raining,Only on highways,B,1,Headlights must be used from sunset to sunrise and anytime visibility is reduced to less than 1000 feet due to weather or other conditions.
Universal,ALL,U-075,rulesOfRoad,When should you use your high-beam headlights?,In city traffic,On unlit roads when no vehicles are nearby,Whenever driving at night,In foggy conditions,B,1,Use high beams on dark roads when no other vehicles are within 500 feet ahead or approaching. Dim them for oncoming traffic.
Universal,ALL,U-076,rulesOfRoad,When should you dim your high-beam headlights?,When approaching other vehicles or driving behind another vehicle,Only in city limits,Never they should always be on at night,Only during rain,A,0,Dim your high beams when within 500 feet of an oncoming vehicle or 300 feet when following another vehicle to avoid blinding other drivers.
Universal,ALL,U-077,rulesOfRoad,In which direction should you look first when approaching an intersection?,Right,Left,Straight ahead,Up at the signal,B,1,Look left first because traffic from the left is closer to you and would reach you first.
Universal,ALL,U-078,rulesOfRoad,What should you do at a green traffic light?,Proceed without looking,Proceed only after checking that the intersection is clear,Speed up to get through,Honk before proceeding,B,1,Even with a green light you should check that the intersection is clear of vehicles and pedestrians before proceeding.
Universal,ALL,U-079,rulesOfRoad,Who has the right-of-way in a roundabout?,Vehicles entering the roundabout,Vehicles already in the roundabout,The larger vehicle,Vehicles turning right,B,1,Traffic already in the roundabout has the right-of-way. Yield to vehicles on your left before entering.
Universal,ALL,U-080,rulesOfRoad,In which direction does traffic flow in a roundabout?,Clockwise,Counterclockwise,Both directions depending on the lane,Either direction,B,1,In the United States traffic in a roundabout always flows counterclockwise (to the right).
Universal,ALL,U-081,rulesOfRoad,When two vehicles approach an uncontrolled T-intersection who yields?,The vehicle on the through road,The vehicle on the terminating road,The vehicle on the right,The smaller vehicle,B,1,At a T-intersection the vehicle on the road that ends (the terminating road) must yield to traffic on the through road.
Universal,ALL,U-082,rulesOfRoad,When a traffic signal is not working what should you do?,Proceed with caution without stopping,Treat it as a four-way stop,Yield only to the right,Ignore it and proceed normally,B,1,When a traffic signal is malfunctioning treat the intersection as a four-way stop. Stop completely and proceed when it is your turn.
Universal,ALL,U-083,rulesOfRoad,If a police officer signals you to proceed through a red light what should you do?,Stop at the red light first,Follow the officers instructions,Wait for the green light,Ignore the officer,B,1,You must always obey the directions of a police officer or traffic officer even if it conflicts with signs or signals.
Universal,ALL,U-084,rulesOfRoad,What is the purpose of a center left-turn lane?,Passing other vehicles,Making left turns from either direction,Through traffic only,Emergency vehicles only,B,1,A center left-turn lane is shared by vehicles from both directions to make left turns. Do not use it for passing or driving through.
Universal,ALL,U-085,rulesOfRoad,How long may you drive in a center left-turn lane?,As long as needed,Only 200 feet or less,One mile,Until you find a gap in traffic,B,1,You should not travel more than 200 feet in a center left-turn lane. Enter only when preparing to make your left turn.
Universal,ALL,U-086,rulesOfRoad,What does a solid line on your side of the center line mean?,Passing is encouraged,Passing is prohibited from your side,Lane is ending,Two-way traffic,B,1,A solid line on your side means you may not pass. A broken line on your side means passing is permitted when safe.
Universal,ALL,U-087,rulesOfRoad,When can you cross a double solid yellow line?,Never for any reason,Only to turn left into a driveway or private road,Whenever it is safe to pass,Only in emergencies,B,1,You may cross double solid yellow lines only to turn left into or from an alley driveway or private road when it is safe to do so.
Universal,ALL,U-088,rulesOfRoad,What must you do before backing up?,Honk your horn,Check behind your vehicle and use mirrors,Turn on hazard lights,Nothing special is required,B,1,Before backing up check behind your vehicle for pedestrians children and obstacles. Use your mirrors and look over your shoulder.
Universal,ALL,U-089,rulesOfRoad,On a road with multiple lanes traveling in your direction which lane should you typically use?,The left lane,The right lane for regular driving,Any lane you prefer,The center lane only,B,1,Use the right lane for regular driving. The left lane is for passing and faster traffic.
Universal,ALL,U-090,rulesOfRoad,When merging onto a highway you should,Stop at the end of the ramp and wait,Match the speed of highway traffic and merge when safe,Always merge at the minimum speed,Honk to alert other drivers,B,1,When merging onto a highway use the acceleration lane to match the speed of traffic then merge into a gap when it is safe.
Universal,ALL,U-091,safeDriving,What is the recommended following distance under normal conditions?,1 second,2 seconds,3 seconds or more,5 seconds,C,2,Maintain at least a 3-second following distance under normal conditions. Increase this in poor weather or when following large vehicles.
Universal,ALL,U-092,safeDriving,How do you measure following distance?,Count the seconds between when the vehicle ahead passes a fixed point and when you pass it,Estimate car lengths,Check your speedometer,Use your side mirrors,A,0,To measure following distance pick a fixed point ahead. When the car ahead passes it count the seconds until you reach that point.
Universal,ALL,U-093,safeDriving,When should you increase your following distance?,When roads are wet or icy,When following motorcycles,When visibility is reduced,All of the above,D,3,Increase your following distance in bad weather when visibility is low when following motorcycles or large vehicles and in heavy traffic.
Universal,ALL,U-094,safeDriving,What is a vehicles blind spot?,The area visible only in the rearview mirror,The area not visible in any mirror that requires turning your head to check,The area directly in front of the vehicle,The area behind the vehicle,B,1,Blind spots are areas around your vehicle that cannot be seen using your mirrors. You must turn your head to check these areas.
Universal,ALL,U-095,safeDriving,Where are the typical blind spots on a car?,Only on the left side,On both sides slightly behind the driver,Only behind the vehicle,In front of the vehicle only,B,1,Most vehicles have blind spots on both sides toward the rear. Always check by turning your head before changing lanes.
Universal,ALL,U-096,safeDriving,What should you do before changing lanes?,Signal only,Check mirrors signal check blind spot then move when clear,Honk your horn,Speed up first,B,1,Before changing lanes check your mirrors signal your intention check your blind spot by turning your head and move when the lane is clear.
Universal,ALL,U-097,safeDriving,Why is it dangerous to tailgate?,It reduces your reaction time if the vehicle ahead stops suddenly,It uses more fuel,It is only dangerous at high speeds,It is not dangerous if you are alert,A,0,Tailgating is dangerous because you have less time to react if the vehicle ahead brakes suddenly increasing your risk of a collision.
Universal,ALL,U-098,safeDriving,If another driver is tailgating you what should you do?,Speed up,Brake suddenly to warn them,Increase the distance ahead of you and let them pass when safe,Ignore them,C,2,If tailgated increase your following distance from the vehicle ahead. This gives you more room to brake gradually. Let the tailgater pass when safe.
Universal,ALL,U-099,safeDriving,What is the main cause of most traffic crashes?,Vehicle mechanical failure,Weather conditions,Driver error,Poor road conditions,C,2,Human error is the leading cause of most traffic crashes. This includes distracted driving speeding and failing to yield.
Universal,ALL,U-100,safeDriving,How does speed affect stopping distance?,Higher speed requires less stopping distance,Higher speed greatly increases stopping distance,Speed does not affect stopping distance,Only affects stopping on wet roads,B,1,Stopping distance increases significantly at higher speeds. Doubling your speed roughly quadruples your stopping distance.
Universal,ALL,U-101,safeDriving,What is defensive driving?,Driving aggressively to protect yourself,Anticipating hazards and being prepared to react safely,Driving slowly at all times,Only driving during daylight,B,1,Defensive driving means staying alert anticipating what other drivers might do and being prepared to react safely to avoid crashes.
Universal,ALL,U-102,safeDriving,What should you do when driving in fog?,Use high-beam headlights,Use low-beam headlights and reduce speed,Drive at the normal speed limit,Follow the car ahead closely,B,1,In fog use low-beam headlights (high beams reflect off fog and reduce visibility) slow down and increase following distance.
Universal,ALL,U-103,safeDriving,When driving on wet roads what should you be aware of?,Tires have better traction,Tires have less traction and stopping distance increases,No change in driving conditions,Only a concern at high speeds,B,1,Wet roads reduce tire traction and increase stopping distance. Slow down and allow extra following distance.
Universal,ALL,U-104,safeDriving,What is hydroplaning?,When your engine gets wet,When your tires lose contact with the road and ride on water,When your brakes get wet,When your windshield gets foggy,B,1,Hydroplaning occurs when water builds up between your tires and the road causing you to lose traction and control. Slow down in wet conditions.
Universal,ALL,U-105,safeDriving,If you begin to hydroplane what should you do?,Brake hard,Accelerate to regain control,Ease off the gas and steer straight until tires regain traction,Turn sharply,C,2,If you hydroplane ease off the accelerator do not brake hard and steer straight until your tires regain contact with the road.
Universal,ALL,U-106,safeDriving,What should you do if your brakes fail while driving?,Pump the brakes shift to a lower gear and use the parking brake gradually,Turn off the engine immediately,Jump out of the vehicle,Steer into oncoming traffic,A,0,If brakes fail pump the brake pedal to build pressure shift to a lower gear and apply the parking brake gradually while steering to a safe area.
Universal,ALL,U-107,safeDriving,What should you do if your tire blows out while driving?,Brake hard immediately,Hold the steering wheel firmly ease off the gas and brake gently when under control,Accelerate to maintain speed,Turn sharply to the shoulder,B,1,During a blowout grip the steering wheel firmly ease off the gas and avoid braking until you have control. Then brake gently and pull over safely.
Universal,ALL,U-108,safeDriving,What should you do if your vehicle starts to skid?,Steer in the direction you want to go and ease off the gas,Steer in the opposite direction of the skid,Brake hard immediately,Accelerate to regain traction,A,0,If your vehicle skids look and steer in the direction you want to go. Ease off the gas and avoid braking until you regain control.
Universal,ALL,U-109,safeDriving,When driving at night you should be able to stop within,The distance you can see ahead with your headlights,Any distance since headlights illuminate everything,Only within 50 feet,Twice the normal stopping distance,A,0,Drive at a speed that allows you to stop within the distance illuminated by your headlights. Overdriving your headlights is dangerous.
Universal,ALL,U-110,safeDriving,What affects your vehicles stopping distance?,Speed only,Speed and road conditions only,Speed road conditions tire condition and driver reaction time,Driver reaction time only,C,2,"Stopping distance depends on your speed, road conditions (wet, icy), tire traction, brake condition, and how quickly you react."
Universal,ALL,U-111,safeDriving,What should you do when approaching a curve?,Speed up to get through it quickly,Slow down before entering the curve,Brake hard while in the curve,Maintain your current speed,B,1,Slow down before entering a curve. Braking hard in a curve can cause you to lose control.
Universal,ALL,U-112,safeDriving,When should you check your mirrors?,Only when changing lanes,Only before stopping,Frequently every few seconds while driving,Only when backing up,C,2,Check your mirrors frequently (every 5-8 seconds) to stay aware of traffic around you. Also check before braking changing lanes or turning.
Universal,ALL,U-113,safeDriving,What is the most important thing to do when backing up?,Rely completely on your backup camera,Turn your head and look behind you while also using mirrors,Only use your side mirrors,Honk your horn continuously,B,1,When backing up turn your head to look behind you directly. Use mirrors and backup cameras as additional aids not replacements for looking.
Universal,ALL,U-114,safeDriving,Why is it important to scan ahead while driving?,To look for police officers,To identify hazards early and have time to react,To find the fastest route,To read billboards,B,1,Scanning ahead allows you to identify potential hazards early giving you more time to react and avoid crashes.
Universal,ALL,U-115,safeDriving,How far ahead should you scan while driving on a highway?,2-3 seconds ahead,5-10 seconds ahead,20-30 seconds ahead,Only the car directly ahead,C,2,On highways scan 20-30 seconds ahead (about a quarter mile) to identify hazards early. In city driving scan at least 10-15 seconds ahead.
