QuestionID,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
AZ-031,What must you do when approaching a stopped emergency vehicle with flashing lights in Arizona?,Slow down but remain in your lane,Come to a complete stop behind it,Move over to another lane or slow down,Continue driving at your normal speed,C
AZ-033,When are drivers required to use their headlights in Arizona?,Only between sunset and sunrise hours,Sunset to sunrise or low visibility,Only during rain or severe weather,24 hours a day while on the road,B
AZ-034,What makes a DUI an Aggravated DUI (felony) in Arizona?,Having a high BAC level alone on record,A first offense that causes any injury,Third DUI or suspended license or child,Any refusal of a chemical test given,C
AZ-037,What device is required after a DUI conviction in Arizona?,A GPS tracker on your vehicle,A dashboard camera for monitoring,A speed limiter device installed,Ignition interlock on all vehicles,D
AZ-039,What does actual physical control mean in Arizona DUI law?,In position to operate even if not driving,Driving over the posted speed limit,Using cruise control while driving,Having physical possession of license,A
AR-003,What is required to advance from a learner's license to an intermediate license in Arkansas?,Complete a state-approved driving course,No serious violations for six months,Pass an additional written examination,Complete 50 hours of driving practice,B
AR-022,What does implied consent mean under Arkansas law?,You can refuse all tests without penalty,You consent to BAC testing if arrested,You agree to allow vehicle searches,You must always carry valid insurance,B
AR-029,What can happen if you drive without insurance in Arkansas?,Fines plus suspension plus registration loss,A warning only for the first offense given,Points on your license but no fine given,Community service hours are required here,A
AR-031,What must you do when approaching a stopped emergency vehicle with flashing lights in Arkansas?,Slow down but remain in your lane,Move over to another lane or slow down,Come to a complete stop behind it,Continue driving at your normal speed,B
AR-032,When are drivers required to use their headlights in Arkansas?,Only between sunset and sunrise hours,Only during rain or severe weather,Sunset to sunrise or low visibility,24 hours a day while on the road,C
AR-036,What happens if an intermediate license holder has a traffic violation in Arkansas?,A warning is issued for the first time,A fine only with no license impact,The license is immediately revoked,Must wait 6 months before advancing,D
AR-037,What should you do if you are involved in an accident in Arkansas?,Stop then exchange info then report if needed,Leave the scene to find help that is nearby,Move all vehicles first in all situations,Wait for the police before taking any action,A
CA-007,What exceptions exist for nighttime and passenger restrictions in California?,Parental permission is always enough,Medical or school or work with documents,Only in emergency situations allowed,No exceptions are allowed at any time,B
CA-009,What happens if you violate GDL restrictions in California?,A warning only for the first offense,A fine only with no license impact,Delayed license and violation on record,Community service hours are required,C
CA-015,How must a phone be mounted to be used legally while driving in California?,Anywhere inside your vehicle is acceptable,In the cupholder is the only legal option,No mounting is required under state law,Windshield or dash or console without blocking,D
CA-022,What happens if you are on DUI probation and drive with any alcohol in California?,Additional DUI charges and probation violation,No additional penalty applies in this case,A warning only for the first occurrence,A fine is issued but no jail is possible,A
CA-023,What does implied consent mean under California law?,You can refuse all tests without penalty,You consent to testing if lawfully arrested,You must agree to allow vehicle searches,You must always carry valid car insurance,B
CA-026,What must drivers on DUI probation do if asked to take a preliminary breath test in California?,They can refuse just like other drivers,They must call their lawyer first,They must take it unlike other drivers,They should wait for a blood test only,C
CA-031,What must you do when approaching a stopped emergency vehicle with flashing lights in California?,Slow down but stay in your current lane,Come to a complete stop behind the vehicle,Continue driving at your normal speed,Move over to another lane or slow down,D
CA-032,When are drivers required to use their headlights in California?,Sunset to sunrise or visibility under 1000 ft,Only between the hours of sunset and sunrise,Only during rain or other severe weather,24 hours a day at all times while driving,A
CA-039,What must you do if your vehicle breaks down on a California freeway?,Stay in your lane with hazard lights on,Pull completely off and stay from traffic,Wait for the police to arrive and help,Turn on your hazard lights and wait,B
CO-029,What can happen if you drive without insurance in Colorado?,A warning only for the first offense given,Points on your license but no fine given,Fines plus suspension plus registration loss,Nothing happens at all for first offense,C
CO-031,What must you do when approaching a stopped emergency vehicle with flashing lights in Colorado?,Slow down but stay in your current lane,Come to a complete stop behind the vehicle,Continue driving at your normal speed,Move over to another lane or slow down,D
CO-037,What is the penalty for a first violation of GDL restrictions in Colorado?,8-24 hours community service and a fine,A warning only for the first violation,Immediate license suspension applies,Jail time is required for violators,A
CT-007,What are the passenger restrictions for the first 6 months with a license in Connecticut?,No passengers under 21 years of age allowed,Only parents or instructors or 20+ experienced,Only one passenger is allowed at any time,Unlimited family members are always allowed,B
CT-018,What activity does Connecticut law prohibit while driving?,Only phone use is prohibited by law,Only eating while driving is banned,Any activity that interferes with safety,Only texting while driving is banned,C
CT-025,What happens if you refuse a chemical test in Connecticut?,No penalty applies for the first refusal,A warning only for the first offense,A fine only with no license suspension,45-day suspension and IID installation,D
CT-029,What can happen if you drive without insurance in Connecticut?,Fines plus suspension plus registration loss,A warning only for the first offense given,Points on your license but no fine given,Nothing happens at all for first offense,A
CT-032,What is the Impaired Driver Intervention Program in Connecticut?,Mandatory jail time for all offenders,Program that can dismiss a first OUI,A license restoration course only,A commercial driver program only,B
CT-033,Can you be charged with OUI in Connecticut without actually driving?,No you must be actively driving the car,Only if the engine was running at time,Yes just keys in ignition can be enough,Only if you were on a public roadway,C
DE-006,Who may supervise driving during the first 6 months with a permit in Delaware?,Any driver with a valid license,Only parents or legal guardians,Only professional driving instructors,Parents or adults 25+ with 5 years exp,D
DE-011,When does a Delaware Level 1 Permit automatically convert to a Class D license?,After 12 months valid with no suspensions,After 6 months of driving experience,Automatically at age 18 years old,After passing the road test exam,A
DE-012,What role does the sponsor play in Delaware's GDL program?,Only signs the initial license application,Final authority and can withdraw endorsement,Only supervises the behind-wheel practice,Only provides car insurance for the teen,B
DE-014,What devices are covered under Delaware's distracted driving law?,Only cell phones are covered by the state law,Only smartphones are covered by the state law,All electronics including phones tablets laptops,Only texting devices are covered by state law,C
DE-025,Can you be charged with DUI in Delaware without actually driving?,No you must be actively driving the car,Only if the engine was running at time,Only if you were in a parking lot,Yes if in physical control of vehicle,D
DE-028,What happens if you drive without insurance in Delaware?,$1500-2000 fine and 6-month suspension,A warning only for the first offense,Points on your license but no fine,Nothing happens for the first offense,A
DE-033,What is Delaware's zero tolerance policy for underage alcohol possession?,It only applies to those who are driving,Any possession can mean license loss,It only applies at bars and restaurants,It only applies on school grounds,B
DE-036,What must all DUI offenders complete in Delaware?,Nothing beyond paying the required fines,Community service hours are required,Drug and alcohol eval and treatment,A driving course is the only thing,C
DE-037,What is the penalty for school bus drivers using cell phones while driving in Delaware?,Same penalty that applies to other drivers,A warning only for the first offense,Immediate license suspension applies,$50-100 fine and possible endorsement loss,D
DE-039,What happens to permit suspension time in Delaware?,Must be added to the end of permit period,It is completely forgiven by the state,It resets the entire 12 month period,Paying the fine clears it completely,A
FL-028,What type of insurance is required for drivers in Florida?,Liability insurance only is required,PIP and property damage are required,Full coverage insurance is required,Collision insurance only is required,B
FL-029,What can happen if you drive without insurance in Florida?,A warning only for the first offense,A fine only with no license impact,Suspension and reinstatement fees apply,Nothing happens for the first offense,C
FL-031,What must you do when approaching a stopped emergency vehicle in Florida?,Slow down but stay in your current lane,Come to a complete stop behind the vehicle,Flash your headlights as a warning,Move over or slow to 20 mph below limit,D
FL-034,What happens to a permit holder with a traffic conviction in Florida?,Cannot get license for one year from date,A warning only for the first offense,A fine only with no license delay,Points are added to their record,A
FL-035,Can you use GPS navigation while driving in Florida?,No all phone use is banned while driving,Yes but hands-free in school and work zones,Only voice commands are allowed by law,Only when the vehicle is fully stopped,B
GA-013,What is the Hands-Free Georgia Act?,A ban on all phone use while driving,A teen-only phone restriction law,Requires hands-free devices while driving,A commercial driver regulation only,C
GA-015,What phone activities are prohibited by Georgia's hands-free law?,Holding phone plus texting reading or video,Only phone calls are prohibited by law,Only texting is prohibited while driving,Only video calls are prohibited by law,A
GA-031,What does Georgia's Move Over law require?,Move over for school buses only,Slow or move for emergency and utility,Move over only for police vehicles,Move over at all intersections,B
GA-032,When must headlights be turned on in Georgia?,Only between the hours sunset and sunrise,Only during rain or other severe weather,Sunset to sunrise or visibility under 500 ft,Only on highways and interstate roads,C
GA-036,What must you do when approaching a stopped school bus with flashing red lights in Georgia?,Slow down and pass the bus carefully,Honk your horn and proceed with care,Stop only if children are clearly visible,Stop and wait until lights stop flashing,D
GA-038,What is the Super Speeder law in Georgia?,Extra fine for 75+ on 2-lane or 85+ any road,A penalty for speeding in school zones,A penalty for speeding with passengers,A penalty for racing on public highways,A
HI-025,What does Hawaii's implied consent law mean?,You must consent to vehicle searches,Consent to testing if arrested for OVUII,You must consent to field sobriety tests,You must consent to vehicle impoundment,B
HI-030,When can a Hawaii driver sue for damages in an accident?,Always regardless of who is at fault,Never because it is a no-fault state,Only when injuries exceed PIP or serious,Only for property damage claims allowed,C
HI-032,What does Hawaii's Move Over law require?,Move or slow for emergency with flashers,Move over only for police cars,There is no move over law in Hawaii,Move over for all stopped vehicles,A
ID-005,What driving restrictions apply to Idaho drivers under 16?,Must have adult supervision at all times,Daylight only unless with adult 21+,No highway driving is allowed at all,No passengers are allowed at any time,B
ID-010,What happens to an Idaho teen's license after multiple violations?,Points accumulate until age 18 years,A warning only for the first offense,Paying fine clears the driving record,Suspension and extended restrictions apply,D
ID-014,What does Idaho's hands-free law prohibit while driving?,Holding any electronic device in hand,Talking on phones only while driving,Texting only is prohibited by law,Phone use only for teen drivers,A
ID-025,What does Idaho's implied consent law mean?,You must consent to vehicle searches,Auto consent to testing if arrested,Consent to preliminary breath tests,Consent to blood draws without warrant,B
ID-030,What happens if you drive without insurance in Idaho?,A warning only for the first offense given,A small fine only is applied to your record,Fines plus suspension plus registration loss,Points on your license but no fine given,C
ID-031,When must headlights be used in Idaho?,Sunset to sunrise only is required,Only during rain or storm weather,Only on rural roads is it required,Sunset to sunrise or under 500 ft,D
ID-032,What does Idaho's Move Over law require?,Move or slow for any flashing lights,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in Idaho,A
ID-038,What should you know about wildlife on Idaho roads?,Wildlife is not a significant concern here,Watch for deer and elk and moose at dawn/dusk,Wildlife is only in national parks areas,Wildlife crossings are always clearly marked,B
IL-010,What is unique about driver education in Illinois?,It is optional for all age groups,A parent-taught option is available,Mandatory classroom and behind-wheel,It is available online only now,C
IL-011,What happens to an Illinois teen's license for moving violations?,A warning only for the first offense,Payment of fine only is required,Points that clear at age 18 years,May suspend with extended restrictions,D
IL-026,What does Illinois' implied consent law mean?,Auto consent to testing when driving,You must consent to vehicle searches,Consent to field sobriety tests only,Consent to blood draws only applies,A
IL-031,When must headlights be used in Illinois?,Sunset to sunrise only is required,Sunset to sunrise or under 1000 ft,Only during rain or other bad weather,Only on highways and interstates,B
IL-034,What should Illinois drivers know about the Chicago area?,Same rules apply as rest of the state,There are no cell phone laws there,Local ordinances and cameras differ,Only different speed limits apply,C
IL-035,What is Illinois law regarding school bus stops?,Stop only when on the same side,Slow down to 25 mph when passing,Stop only when red lights flash,Stop both ways unless barrier exists,D
IL-036,What is unique about Illinois toll roads?,Extensive tollway system with I-PASS,There are no toll roads in Illinois,Cash only tolls are accepted here,Toll roads are free for residents,A
IL-039,What should Illinois drivers know about winter driving?,Chains are always required in winter,No chains but snow tires are recommended,Studded tires are required by law,Salt trucks have the right of way,B
IN-026,What does Indiana's implied consent law mean?,You must consent to vehicle searches,Consent to field sobriety tests only,Auto consent to testing when driving,Consent to preliminary breath tests,C
IN-031,When must headlights be used in Indiana?,Sunset to sunrise only is required,Only during rain or severe weather,Only on highways and interstates,30 min after sunset plus low visibility,D
IN-032,What does Indiana's Move Over law require?,Slow or move for all flashing lights,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in Indiana,A
IN-037,What should Indiana drivers know about roundabouts?,They are rare throughout the state,Indiana has many including multi-lane,They require stopping before entry,They give right of way to entering,B
IN-040,What should Indiana drivers know about Indianapolis Motor Speedway traffic?,Normal traffic rules always apply,There is no stopping near speedway,Special patterns during events,Lower speed limits apply year round,C
IA-009,Who can supervise an Iowa intermediate driver after curfew?,Any adult with a valid license,Parent or family 21+ or adult 25+,Only parents or legal guardians,No supervision is ever allowed,B
IA-012,What is notable about Iowa's permit age?,It is the highest in the nation,One of the youngest at age 14,Same as most other states at 15,Only available at age 16 years,B
IA-013,What does Iowa's distracted driving law prohibit?,Only phone calls while driving,Only texting while driving,All electronic device use,Only phone use for teen drivers,C
IA-018,What makes Iowa's distracted driving law unique?,It only applies to teenage drivers,Specifically bans entertainment devices,It only applies to texting by law,It only applies on state highways,B
IA-025,What does Iowa's implied consent law mean?,Auto consent to testing when driving,You can refuse all tests freely,Consent to vehicle searches only,Consent to field sobriety tests,A
IA-030,What happens if you drive without insurance in Iowa?,A warning only for the first offense,Suspension and liability for damages,A small fine only is applied,Points on your license but no fine,B
IA-031,When must headlights be used in Iowa?,Sunset to sunrise or under 500 ft,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is it required,A
IA-032,What does Iowa's Move Over law require?,Move over for emergency vehicles only,Slow or move for all flashing lights,Move over only for police vehicles,There is no move over law in Iowa,B
IA-034,What should Iowa drivers know about farm equipment?,They are prohibited on all public roads,They only operate during night hours,They are only in designated farm areas,Slow moving equipment is common and legal,D
IA-037,What should Iowa drivers know about winter conditions?,Snow is rare throughout the state,Severe winter weather is common,Salt trucks clear roads immediately,Chains are always required by law,B
IA-038,What is unique about Iowa license plates?,Only one design is available,Drivers can choose county or state,They are issued randomly by state,Personalized plates are not allowed,B
IA-039,What should Iowa drivers know about deer crossings?,Deer are not common in the state,Deer only cross at marked crossings,Deer crossings are common in fall,Deer only cross in rural areas,C
KS-018,What types of communication are prohibited by Kansas distracted driving law?,All written including email and social,Only text messages while driving cars,Only phone calls while driving cars,Only social media while driving cars,A
KS-023,What does Kansas' implied consent law mean?,Driving constitutes consent to testing,You can refuse all tests without penalty,Consent to all vehicle searches only,Consent to field sobriety tests only,A
KS-028,What type of insurance coverage is required in Kansas?,Full coverage insurance is required,Collision insurance only is needed,Comprehensive insurance is required,Minimum liability coverage is required,D
KS-030,What happens if you drive without insurance in Kansas?,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,Fine plus suspension plus impoundment,D
KS-031,When must headlights be used in Kansas?,Sunset to sunrise only is required,Sunset to sunrise or under 1000 ft,Only during rain or severe weather,Only on highways and interstates,B
KS-032,What does Kansas' Move Over law require?,Slow or move for emergency and workers,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in Kansas,A
KS-034,What weather conditions should Kansas drivers be prepared for?,Kansas has very mild weather always,Severe weather including tornadoes,Only winter weather is a concern,Only summer heat is a major concern,B
KS-037,What should Kansas drivers know about rural roads?,Rural roads are all well-maintained,Long straight roads can cause fatigue,Rural roads have higher speed limits,Rural roads are rarely traveled,B
KS-038,What is the Kansas Turnpike?,A free highway through the state,It is a toll road with K-TAG payment,A scenic highway through the state,A highway only for commercial trucks,B
KY-008,Who must supervise a Kentucky permit holder while driving?,Any adult with a valid drivers license,Licensed parent or guardian in front seat,Only professional driving instructors,Any licensed driver over age 21 years,B
KY-030,What happens if you drive without insurance in Kentucky?,A warning only for the first offense,A small fine only is applied to you,Fines plus suspension plus SR-22 required,Points on your license but no fine,C
KY-031,When must headlights be used in Kentucky?,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required,Sunset to sunrise or under 500 feet,D
KY-032,What does Kentucky's Move Over law require?,Slow or move for emergency plus utility,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in Kentucky,A
KY-034,What should Kentucky drivers know about mountain roads?,Mountain roads are rare in the state,Eastern Kentucky has winding hilly roads,Mountain roads have higher speed limits,Mountain roads are only in state parks,B
KY-037,What should Kentucky drivers know about coal trucks?,Coal trucks are prohibited on highways,Coal trucks are only in eastern areas,Large coal trucks are common on roads,Coal trucks have the right of way,C
KY-040,What is Kentucky law on following emergency vehicles?,Following is allowed at any distance,You may follow at a safe distance,Following within 500 feet is illegal,Following is only illegal in cities,C
LA-018,Is it illegal to use a phone in Louisiana school zones?,No phone restrictions in school zones,Hands-free is allowed in school zones,Only texting is banned in school zones,All phone use is banned in school zones,D
LA-025,When can Louisiana suspend your license before DUI conviction?,Never until after final conviction,Immediately upon arrest for any DUI,If you refuse testing or fail BAC test,Only for second or subsequent offense,C
LA-026,What is required for all Louisiana DUI offenders?,Nothing beyond paying fines and costs,Community service hours are required,Substance abuse evaluation and program,Only a driving course is required,C
LA-030,What happens if you drive without insurance in Louisiana?,A warning only for the first offense,Fines plus suspension plus reinstatement,A small fine only is applied to you,Points on your license but no fine,B
LA-031,When must headlights be used in Louisiana?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required,A
LA-032,What does Louisiana's Move Over law require?,Move over for emergency vehicles only,Slow or move for emergency plus utility,Move over only for police vehicles,There is no move over law in Louisiana,B
LA-034,What should Louisiana drivers know about flooding?,Flooding is rare throughout the state,Only coastal areas experience flooding,Flash flooding is common statewide,Flooding only occurs during hurricanes,C
LA-037,What is unique about some Louisiana roads?,All roads are well above sea level,Some roads are below sea level areas,Louisiana has no toll roads at all,All roads are perfectly maintained,B
LA-038,What should Louisiana drivers know about hurricane evacuations?,Evacuations are never mandatory here,Only coastal residents must evacuate,Contraflow may reverse highway lanes,Evacuations are handled by police only,C
LA-040,What is unique about Louisiana traffic terms?,Louisiana uses standard US terms only,Parishes are used instead of counties,Louisiana uses metric measurements,Louisiana uses Canadian traffic terms,B
ME-009,Who must supervise a Maine permit holder while driving?,Any adult with a valid drivers license,Licensed driver 20+ with 2 years experience,Only professional driving instructors,Any licensed driver over age 21 years,B
ME-025,What does Maine's implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only,Consent to field sobriety tests only,A
ME-030,What happens if you drive without insurance in Maine?,A warning only for the first offense,Fines plus suspension plus SR-22 filing,A small fine only is applied to you,Points on your license but no fine,B
ME-031,When must headlights be used in Maine?,Sunset to sunrise only is required,Only during rain or severe weather,Sunset to sunrise or low visibility,Only on rural roads is required,C
ME-032,What does Maine's Move Over law require?,Move over for emergency vehicles only here,Move over only for police vehicles here,There is no move over law in Maine state,Slow or move for all emergency plus utility,D
ME-034,What should Maine drivers know about moose?,Moose are not found anywhere on Maine roads,Moose are serious hazard especially at night,Moose crossings are always clearly marked,Moose only appear in far northern Maine,B
ME-035,What is Maine law regarding school buses?,Stop only when on the same side of road,Slow down to 25 mph when passing buses,Stop both directions unless divided road,Stop only when red lights are flashing,C
ME-037,What should Maine drivers know about winter driving?,Snow is rare throughout the state,Severe winter conditions are common,Chains are always required in winter,Salt trucks clear roads immediately,B
ME-040,What should Maine drivers know about coastal fog?,Fog is rare along the Maine coast,Dense fog is common along the coast,Fog only occurs during summer months,Fog warnings are always posted ahead,B
MD-011,What happens if a Maryland provisional driver is convicted of a moving violation?,A warning only for the first offense,Fine only with no license impact,Possible suspension and extended wait,Points that clear at age 18 years,C
MD-024,What is the difference between DUI and DWI in Maryland?,They are exactly the same offense,DUI is higher BAC than DWI charge,DWI is higher BAC than DUI charge,DWI only applies to alcohol not drugs,B
MD-028,What unique insurance option does Maryland offer?,No special options are available,State fund for uninsured accidents,Free insurance for low income drivers,Insurance is provided by the state,B
MD-030,What happens if you drive without insurance in Maryland?,Fines plus suspension plus points,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,A
MD-031,When must headlights be used in Maryland?,Sunset to sunrise only is required,Sunset to sunrise or low visibility,Only during rain or severe weather,Only on rural roads is required,B
MD-032,What does Maryland's Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in Maryland,C
MD-034,What should Maryland drivers know about the Baltimore-Washington area?,Traffic is light in the metro area,Heavy congestion and toll roads common,No toll roads exist in this area,Traffic rules differ from state laws,B
MD-037,What is unique about Maryland toll roads?,Maryland has no toll roads at all,Multiple toll facilities with E-ZPass,Cash only tolls are accepted here,Toll roads are free for residents,B
MD-038,What should Maryland drivers know about bay bridges?,There are no major bridges in the state,Bay Bridge can have high winds and delays,All bridges are completely free to cross,Bridges are only for commercial vehicle use,B
MA-006,How many passengers can a Massachusetts junior operator carry in the first 6 months?,Unlimited passengers are allowed,Only one passenger under 18 years,Only immediate family members allowed,No passengers under 18 except family,C
MA-007,After 6 months how many passengers can Massachusetts junior operators carry?,Unlimited passengers are allowed now,One passenger under 18 years old,Only immediate family members still,Up to three passengers under 18,B
MA-009,Who must supervise a Massachusetts permit holder?,Any adult with a valid drivers license,Parent or guardian or licensed adult 21+,Only professional driving instructors,Any licensed driver over age 25 years,B
MA-011,What happens if a Massachusetts junior operator commits a moving violation?,A warning only for the first offense,License suspended for 90 days minimum,Fine only with no license impact,Points that clear at age 18 years,B
MA-012,What is a Massachusetts junior operator license?,A license for commercial vehicles only,License for drivers 16-18 with limits,A license for motorcycles only here,A license for drivers over 65 years,B
MA-023,What is Massachusetts implied consent law?,Auto consent to chemical testing if arrested,You can refuse all tests without penalty,Consent to vehicle searches only applies,Consent to field sobriety tests only,A
MA-025,What happens if you refuse a chemical test in Massachusetts?,No penalty for the first refusal given,A fine only with no license suspension,Immediate license suspension for 180 days,The case against you will be dismissed,C
MA-026,What is the Melanie's Law in Massachusetts?,Teen passenger restriction law only,School zone speeding penalty law,Cell phone use ban for all drivers,Tough DUI law with ignition interlock,D
MA-031,When must headlights be used in Massachusetts?,Sunset to sunrise or low visibility times,Sunset to sunrise only is required by law,Only during rain or severe bad weather,Only on highways and interstates roads,A
MA-032,What does Massachusetts Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
MA-034,What should Massachusetts drivers know about the Boston area?,Traffic is light in the metro area,Traffic rules differ from state laws,No toll roads exist in this area,Complex roads and heavy congestion common,D
MA-036,What is the Massachusetts Safe Driver Insurance Plan?,Points system affecting insurance rates,State run insurance for all drivers,Free insurance for low income drivers,Insurance discount for safe drivers,A
MA-038,What should Massachusetts drivers know about rotaries?,Rotaries are rare in the state now,They require stopping before entering,Many rotaries exist with yield to traffic,They give right of way to entering,C
MI-008,What nighttime restrictions apply to Michigan Level 2 license?,No driving from 10 PM to 5 AM generally,No nighttime restrictions apply at all,No driving after sunset at any time,No driving from midnight to 6 AM only,A
MI-010,What happens to a Michigan Level 2 driver after a crash or violation?,A warning only for the first offense,Fine only with no license impact,Extended time at Level 2 is required,Points that clear at age 18 years,C
MI-018,What does Michigan law prohibit for all drivers?,Only texting while driving is banned,Only phone calls while driving,All handheld phone use while driving,Only phone use for teen drivers,C
MI-025,What does Michigan implied consent law mean?,You can refuse all tests without penalty,Consent to vehicle searches only,Consent to field sobriety tests only,Auto consent to testing when driving,D
MI-028,What type of insurance is required in Michigan?,Liability only insurance is required,Collision insurance only is needed,Comprehensive insurance is required,No-fault PIP insurance is required,D
MI-031,When must headlights be used in Michigan?,Sunset to sunrise or visibility under 500 ft,Sunset to sunrise only is required by law,Only during rain or other severe weather,Only on rural roads is it ever required,A
MI-032,What does Michigan Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,There is no move over law in state,Slow or move for emergency plus utility,D
MI-034,What should Michigan drivers know about winter driving?,Lake effect snow creates hazardous driving,Snow is rare throughout the entire state,Chains are always required during winter,Salt trucks clear roads almost immediately,A
MI-037,What should Michigan drivers know about deer?,Deer are not common on Michigan roads,Deer only cross at marked crossings,Deer collisions are common in fall,Deer only appear in rural areas,C
MI-038,What is unique about Michigan roads?,All roads are perfectly maintained here,Michigan has no toll roads at all here,Michigan turnarounds for left turns exist,Roads use metric measurements only here,C
MI-040,What should Michigan drivers know about the Mackinac Bridge?,There are no major bridges in state,All bridges are free to cross,Bridges are only for commercial use,High winds may close or restrict bridge,D
MN-009,Who must supervise a Minnesota permit holder?,Licensed driver 21+ in front seat position,Any adult with a valid drivers license,Only professional driving instructors,Any licensed driver over age 25 years,A
MN-018,What does Minnesota hands-free law prohibit?,Only texting while driving is banned,Only phone calls while driving,All handheld phone use while driving,Only phone use for teen drivers,C
